71,18
122,12
175,11
232,3
290,3
348,0
406,3
462,6
517,16
561,23
66,69
118,61
170,56
228,53
288,53
349,51
408,54
466,57
519,65
567,70
62,122
113,117
167,114
225,110
286,110
349,110
410,112
469,116
525,119
571,125
59,177
111,174
166,173
225,172
287,171
349,172
411,171
470,176
527,178
572,182
57,234
110,232
165,233
226,232
284,234
349,238
411,234
469,236
525,238
572,238
59,292
111,294
167,296
223,296
285,298
347,299
409,298
469,298
523,297
571,295
62,346
113,350
168,352
226,356
285,359
347,360
408,359
465,358
520,356
567,351
67,396
119,405
172,408
228,412
285,414
345,414
404,415
461,414
512,409
560,404
75,452
125,458
176,466
229,468
286,471
343,471
398,473
453,470
506,465
550,459
